id,fr_event_id,fr_alert_dt,va_engine_id,person_id,score,info,key
0,fcd30660-4c5b-4672-bf88-9ea22060c578,2023-01-01 09:00:00,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.99489117,,S9000992C
1,c4a0c2e4-6edf-4cc2-a5df-2bfda04710d5,2023-01-01 09:00:22,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.95258504,,S9000992C
2,fa54d687-eaeb-4b29-bdea-4e3de93bdd10,2023-01-01 09:00:44,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.94702303,,S9000992C
3,5ca449dc-c86f-4b6e-862f-28f4741f2302,2023-01-01 09:01:06,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9057027,,S9000992C
4,ab5e82ca-5f8e-4f1b-a776-3cd17d67a16c,2023-01-01 09:01:28,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.93583727,,S9000992C
5,1ae49eef-51a4-4bbb-b306-a80196bfdac0,2023-01-01 11:00:00,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9089569,,S9000992C
6,c6d6cd9f-8cab-4492-b32d-9cc23c4545d6,2023-01-01 11:00:22,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.98437136,,S9000992C
7,27578bae-0517-41c6-ad36-eeb0c41ae7bf,2023-01-01 11:00:44,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9493916,,S9000992C
8,49f4dbf9-4a80-4159-97a1-d42ef80020d0,2023-01-01 11:01:06,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.92271316,,S9000992C
9,eb518287-c5f1-4972-be5e-0ed71701b4bf,2023-01-01 11:01:28,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.96641374,,S9000992C
10,c929f547-521f-4244-ad53-c4bf02382626,2023-01-02 09:00:00,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9882231,,S9000992C
11,6910bae7-c602-499f-b157-fbd66c0add08,2023-01-02 09:00:22,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9177979,,S9000992C
12,ce959cf0-c7f0-4be0-9922-84484a26166a,2023-01-02 09:00:44,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.92552674,,S9000992C
13,e123da25-a0f4-4ade-8785-c8e77d7cf170,2023-01-02 09:01:06,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.97295254,,S9000992C
14,8f9dea48-b163-41a6-840f-407d6a1c4d95,2023-01-02 09:01:28,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.99560285,,S9000992C
15,92b1c8ce-999d-4845-87cf-f03e693504bb,2023-01-02 11:00:00,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9419019,,S9000992C
16,a15b64f9-a330-4657-98af-88cfe7fccc4a,2023-01-02 11:00:22,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9204762,,S9000992C
17,ba8fe274-af8e-4270-bdf5-97cf8e77bd58,2023-01-02 11:00:44,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9196393,,S9000992C
18,c7d325b8-913e-4f3f-9a1b-d1bb377489bf,2023-01-02 11:01:06,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9746183,,S9000992C
19,29606ad5-dc02-494d-8377-877c729962b6,2023-01-02 11:01:28,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9190575,,S9000992C
20,35b09116-e4e3-4f4f-a649-0f9eb696dfb6,2023-01-03 09:00:00,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9963563,,S9000992C
21,bf9c7a6d-0643-4fd6-9438-ca021340a120,2023-01-03 09:00:22,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.926042,,S9000992C
22,6eb9fd1e-4d8f-4e26-b16c-bc63220ec811,2023-01-03 09:00:44,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.957163,,S9000992C
23,ed604bd9-5970-4a7a-9073-2bfa1cb81c48,2023-01-03 09:01:06,1,b3075962-36cb-4d40-bba5-f22bffff4ef1,0.9648461,,S9000992C
